callee,caller,spect
Dionysus,Dia,"[[0.22299052 0.18097303 0.10763787 ... 0.12297591 0.10171291 0.11931841]
 [0.31386872 0.29082001 0.20228877 ... 0.11008132 0.10039671 0.0791149 ]
 [0.33912694 0.26898817 0.23014047 ... 0.07441909 0.08108598 0.09469654]
 ...
 [0.13612505 0.15712367 0.13983549 ... 0.21748955 0.16061336 0.15438991]
 [0.11959128 0.17011683 0.09696573 ... 0.17649869 0.13973175 0.12964798]
 [0.03323336 0.20096148 0.1393639  ... 0.19638496 0.15340917 0.15887217]]"
Ceto,Adonis,"[[0.15381803 0.15173481 0.10933    ... 0.18274157 0.1275681  0.18853917]
 [0.11196728 0.14508027 0.16938679 ... 0.17528944 0.12921794 0.16090783]
 [0.08915369 0.13835557 0.15104979 ... 0.15368852 0.17475296 0.16295934]
 ...
 [0.14172414 0.15029048 0.14451325 ... 0.21912398 0.13988065 0.11048836]
 [0.12220462 0.14872624 0.14257933 ... 0.16646054 0.12696739 0.18978629]
 [0.13075024 0.10381532 0.10544286 ... 0.11190317 0.15215043 0.1888349 ]]"
Bhumi,Dionysus,"[[0.83554206 0.64489158 0.59666413 ... 0.0968688  0.08801926 0.07865752]
 [0.81484463 0.69649481 0.6029023  ... 0.10775916 0.08876307 0.09604265]
 [0.73996067 0.73001883 0.62890613 ... 0.13301143 0.06737545 0.07072078]
 ...
 [0.15104398 0.10013427 0.1196549  ... 0.07495491 0.03513052 0.08411041]
 [0.09092985 0.10618159 0.13713127 ... 0.0544072  0.05978816 0.03835888]
 [0.12178992 0.14036871 0.18303452 ... 0.06365172 0.08668241 0.02967007]]"
Dionysus,Dia,"[[0.59156544 0.48206345 0.39698864 ... 0.1482269  0.15628172 0.14010555]
 [0.66824741 0.51914616 0.42997288 ... 0.15139848 0.13603365 0.15012523]
 [0.68180457 0.51687612 0.45370838 ... 0.08920571 0.10637527 0.11117039]
 ...
 [0.14393466 0.14213712 0.15501276 ... 0.21877209 0.2435065  0.19405968]
 [0.08345234 0.13868008 0.16968344 ... 0.16535845 0.19571083 0.20387169]
 [0.109119   0.13209852 0.21614712 ... 0.11394269 0.12554879 0.13725408]]"
Dia,Dionysus,"[[0.13117806 0.08293837 0.10973485 ... 0.23678503 0.23106223 0.19028472]
 [0.16930034 0.13805701 0.10088426 ... 0.22552875 0.20925796 0.21695174]
 [0.22518191 0.14075338 0.09140797 ... 0.21623362 0.2026663  0.21663288]
 ...
 [0.09773374 0.06274325 0.09997557 ... 0.19539666 0.22936409 0.18971083]
 [0.08949623 0.11319091 0.05779115 ... 0.22221403 0.22711547 0.16155669]
 [0.10424974 0.08878259 0.08017173 ... 0.18607609 0.24153896 0.13929611]]"
Dionysus,Dia,"[[0.11293804 0.08919724 0.12504326 ... 0.22926904 0.10101732 0.15602817]
 [0.17835227 0.08040916 0.07609463 ... 0.20897045 0.18573673 0.19552395]
 [0.17240935 0.1266191  0.10666414 ... 0.16835389 0.16060715 0.14558412]
 ...
 [0.08304706 0.14836895 0.10379521 ... 0.14035088 0.13434686 0.11237973]
 [0.06720898 0.15029427 0.03249594 ... 0.12558215 0.10004319 0.08862328]
 [0.03476366 0.1073801  0.08460079 ... 0.103743   0.11099881 0.09209475]]"
Adonis,Dia,"[[0.05887198 0.13235295 0.07019898 ... 0.14303402 0.12747773 0.00301049]
 [0.16014673 0.13472468 0.06236099 ... 0.12091288 0.13120491 0.03194266]
 [0.30271563 0.21379107 0.10950482 ... 0.10819573 0.1302408  0.05116071]
 ...
 [0.27370449 0.13241541 0.1169461  ... 0.14825685 0.10665805 0.10592338]
 [0.21011819 0.0957339  0.10814804 ... 0.1130094  0.0349521  0.09268641]
 [0.14380036 0.02945069 0.08979635 ... 0.0942649  0.07955301 0.11540134]]"
Ceto,Dia,"[[0.54791625 0.4917422  0.3815811  ... 0.06508808 0.1012616  0.083599  ]
 [0.49508587 0.49629858 0.41562433 ... 0.14464902 0.0901063  0.06938933]
 [0.4039651  0.54897041 0.44509636 ... 0.12838026 0.06850543 0.1016676 ]
 ...
 [0.13903024 0.177376   0.14215229 ... 0.61726606 0.56404055 0.47639945]
 [0.13638085 0.17318024 0.13762624 ... 0.5778331  0.58095895 0.50369297]
 [0.09195473 0.10718242 0.12164134 ... 0.56196252 0.55503559 0.49157684]]"
Dia,Dionysus,"[[0.08142134 0.32937492 0.64722224 ... 0.19628026 0.27916901 0.05203192]
 [0.08902107 0.16516345 0.57537778 ... 0.17855468 0.23338832 0.05064549]
 [0.04820625 0.10455955 0.42116296 ... 0.26224773 0.21477577 0.10534584]
 ...
 [0.07128971 0.08688336 0.05726917 ... 0.01280899 0.06838052 0.05959251]
 [0.0956915  0.09875281 0.05745313 ... 0.03305623 0.04861871 0.06245312]
 [0.05531959 0.01538957 0.07448604 ... 0.05492563 0.05829517 0.09365538]]"
Dionysus,Dia,"[[0.36140908 0.2198836  0.15297281 ... 0.02233108 0.10445541 0.14731209]
 [0.38660125 0.24826499 0.15333213 ... 0.06729589 0.09269723 0.13835309]
 [0.3669832  0.1775055  0.17118384 ... 0.135657   0.08240521 0.15526522]
 ...
 [0.14633184 0.1190218  0.11793048 ... 0.18379722 0.18001147 0.53193247]
 [0.18906206 0.10913189 0.05057624 ... 0.1372232  0.13766054 0.22736357]
 [0.15550689 0.12621795 0.11931268 ... 0.15820417 0.13873344 0.11307157]]"
